INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
266427564,04/09/2023,00:02:00,MANHATTAN,OUTSIDE,25,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),<18,M,BLACK,"1,002,205","230,918",40.800477,-73.935145,POINT (-73.935145 40.800477)
272421430,08/05/2023,05:32:00,BRONX,OUTSIDE,42,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,"1,010,929","246,421",40.84300354871585,-73.90357661515787,POINT (-73.90357661515787 40.84300354871585)
273899114,09/04/2023,23:32:00,BRONX,OUTSIDE,42,0,STREET,(null),N,18-24,M,BLACK,25-44,M,BLACK,"1,008,187","239,788",40.82480574356543,-73.9135104293275,POINT (-73.9135104293275 40.82480574356543)
266051444,04/01/2023,23:30:00,BROOKLYN,OUTSIDE,76,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,"983,344","186,202",40.677759,-74.003263,POINT (-74.003263 40.677759)
271465865,07/17/2023,21:18:00,BRONX,OUTSIDE,42,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,"1,013,859","243,743",40.83564388465157,-73.89299882628953,POINT (-73.89299882628953 40.83564388465157)
273470855,08/25/2023,18:59:00,BRONX,OUTSIDE,40,0,STREET,(null),N,18-24,M,BLACK,25-44,M,BLACK,"1,009,419","235,573",40.81323333664803,-73.9090747576563,POINT (-73.9090747576563 40.81323333664803)
270836517,07/05/2023,02:21:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,18-24,M,BLACK HISPANIC,18-24,M,BLACK,"1,011,263","251,671",40.857414,-73.902346,POINT (-73.902346 40.857414)
266702449,04/14/2023,02:02:00,BRONX,OUTSIDE,46,0,STREET,(null),N,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,"1,008,383","250,881",40.85525224,-73.91276232,POINT (-73.91276232 40.85525224)
274317597,09/12/2023,21:05:00,QUEENS,OUTSIDE,114,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,"1,010,578","221,195",40.773768,-73.904943,POINT (-73.904943 40.773768)
268973603,05/27/2023,21:15:00,QUEENS,INSIDE,113,0,DWELLING,MULTI DWELL - APT BUILD,Y,25-44,M,BLACK,18-24,F,BLACK,"1,052,364","187,814",40.681921,-73.754415,POINT (-73.754415 40.681921)
265584227,03/23/2023,22:10:00,BRONX,OUTSIDE,47,0,COMMERCIAL,GROCERY/BODEGA,N,(null),(null),(null),25-44,M,BLACK,"1,023,214","259,205",40.878047,-73.859101,POINT (-73.859101 40.878047)
263357861,02/09/2023,14:30:00,MANHATTAN,OUTSIDE,7,0,STREET,(null),N,<18,M,BLACK,18-24,M,ASIAN / PACIFIC ISLANDER,"986,978","199,303",40.713718,-73.990157,POINT (-73.990157 40.713718)
272060121,07/28/2023,20:45:00,QUEENS,OUTSIDE,106,0,STREET,(null),N,<18,M,BLACK,<18,M,BLACK,"1,037,629","188,289",40.683325585282006,-73.80753917984663,POINT (-73.80753917984663 40.683325585282006)
269301980,06/03/2023,20:45:00,BROOKLYN,OUTSIDE,79,0,STREET,(null),N,(null),(null),(null),18-24,F,BLACK,"1,001,063","186,965",40.679838,-73.939382,POINT (-73.939382 40.679838)
273194783,08/20/2023,23:30:00,BRONX,OUTSIDE,48,0,STREET,(null),Y,25-44,F,BLACK,18-24,F,BLACK,"1,012,058","248,610",40.84901,-73.899486,POINT (-73.899486 40.84901)
262205773,01/19/2023,11:31:00,MANHATTAN,OUTSIDE,26,0,STREET,(null),N,<18,M,BLACK HISPANIC,18-24,M,BLACK,"996,768","236,361",40.815425,-73.954774,POINT (-73.954774 40.815425)
275215976,09/29/2023,18:30:00,MANHATTAN,OUTSIDE,33,0,STREET,(null),Y,25-44,M,BLACK,25-44,M,BLACK,"1,001,768","244,296",40.837193969818486,-73.93669188653992,POINT (-73.93669188653992 40.837193969818486)
263357365,02/07/2023,16:40:00,BROOKLYN,OUTSIDE,70,0,OTHER,(null),Y,18-24,M,BLACK,18-24,M,BLACK,"998,839","168,942",40.630373,-73.947438,POINT (-73.947438 40.630373)
262205775,01/19/2023,20:52:00,BRONX,OUTSIDE,41,0,STREET,(null),N,18-24,M,BLACK,<18,M,BLACK,"1,012,644","236,957",40.817024,-73.897415,POINT (-73.897415 40.817024)
271656067,07/20/2023,08:00:00,BROOKLYN,OUTSIDE,81,0,STREET,(null),Y,45-64,M,BLACK,25-44,F,WHITE HISPANIC,"1,001,463","190,640",40.689924,-73.937928,POINT (-73.937928 40.689924)
272189218,08/01/2023,03:37:00,BROOKLYN,OUTSIDE,73,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),25-44,M,BLACK,"1,009,865","187,272",40.68066,-73.907645,POINT (-73.907645 40.68066)
274999625,09/26/2023,23:10:00,BROOKLYN,INSIDE,69,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,"1,013,395","168,960",40.63038472868557,-73.89499957319876,POINT (-73.89499957319876 40.63038472868557)
265522984,03/22/2023,23:26:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),18-24,M,WHITE HISPANIC,"1,010,552","246,556",40.84337521,-73.90493864,POINT (-73.90493864 40.84337521)
268737289,05/23/2023,19:09:00,MANHATTAN,OUTSIDE,33,0,STREET,GROCERY/BODEGA,Y,18-24,M,BLACK HISPANIC,65+,M,ASIAN / PACIFIC ISLANDER,"1,000,197","244,402",40.83749,-73.942368,POINT (-73.942368 40.83749)
262145574,01/18/2023,16:05:00,BRONX,OUTSIDE,41,0,STREET,MULTI DWELL - APT BUILD,N,25-44,M,BLACK,25-44,M,BLACK,"1,015,347","236,359",40.815372,-73.887653,POINT (-73.887653 40.815372)
268973602,05/27/2023,21:25:00,BROOKLYN,INSIDE,75,0,DWELLING,MULTI DWELL - APT BUILD,N,18-24,M,BLACK HISPANIC,25-44,F,BLACK,"1,022,965","182,558",40.667673,-73.860441,POINT (-73.860441 40.667673)
275142941,09/29/2023,00:30:00,QUEENS,OUTSIDE,102,0,STREET,PVT HOUSE,N,45-64,M,BLACK,25-44,M,BLACK,"1,033,435","193,797",40.69847,-73.822618,POINT (-73.822618 40.69847)
263211697,02/07/2023,22:25:00,BRONX,OUTSIDE,46,0,STREET,FAST FOOD,N,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,"1,011,755","250,279",,,
263429757,02/10/2023,23:25:00,BROOKLYN,INSIDE,88,0,(null),GROCERY/BODEGA,N,25-44,M,BLACK,45-64,M,WHITE HISPANIC,"993,569","191,897",40.693387,-73.966393,POINT (-73.966393 40.693387)
269683819,06/11/2023,21:14:00,BRONX,OUTSIDE,42,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,"1,016,885","243,883",40.83602,-73.88206,POINT (-73.88206 40.83602)
271751338,07/22/2023,18:56:00,BRONX,OUTSIDE,47,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,"1,025,439","258,185",40.875237,-73.851061,POINT (-73.851061 40.875237)
270863204,07/05/2023,08:28:00,BRONX,OUTSIDE,43,0,STREET,PVT HOUSE,N,45-64,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,"1,023,704","234,462",40.810132,-73.857473,POINT (-73.857473 40.810132)
